Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,86,1100.0,0,1100.0,-1,90000.0,0.0,-1,1.0E9,0,90000.0,CRASHED,,104.67,
2,1,28,1100.0,0,1100.0,-1,90000.0,0.0,-1,1.0E9,1,180000.0,CRASHED,,12.507,
3,2,28,881.631167889,0,1100.0,-1,881.631167889,0.0,1,0.0,1,180881.631167889,SAT,,881.663,
4,2,86,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,1,270881.631167889,TIMEOUT,,1882.065,
5,2,77,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,1,360881.631167889,TIMEOUT,,1882.138,
6,3,86,1100.0,0,1100.0,-1,90000.0,0.0,-1,1.0E9,1,450881.631167889,CRASHED,,117.267,
7,3,77,1100.0,0,1100.0,-1,90000.0,0.0,-1,1.0E9,1,540881.631167889,CRASHED,,130.828,
8,3,28,1100.0,0,1100.0,-1,90000.0,0.0,-1,1.0E9,1,630881.631167889,CRASHED,,10.334,
9,2,92,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,2,720881.631167889,TIMEOUT,,1882.256,
10,4,77,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,2,810881.631167889,TIMEOUT,,1882.414,
11,4,86,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,2,900881.631167889,TIMEOUT,,1882.456,
12,4,92,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,2,990881.631167889,TIMEOUT,,1882.219,
13,4,28,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,2,1080881.631167889,TIMEOUT,,1882.104,
14,2,52,33.9366459846,0,1100.0,-1,33.9366459846,0.0,1,0.0,2,1080915.5678138738,SAT,,33.986,
15,5,52,69.0688710213,0,45.12024032265991,-1,69.0688710213,0.0,1,0.0,2,1080984.636684895,SAT,,69.16,
16,2,62,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,3,1170984.636684895,TIMEOUT,,1881.972,
17,6,62,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,3,1260984.636684895,TIMEOUT,,1881.93,
18,6,52,66.427246809,0,1100.0,-1,66.427246809,0.0,1,0.0,3,1261051.063931704,SAT,,66.482,
19,6,77,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,3,1351051.063931704,TIMEOUT,,1882.286,
20,2,17,21.3849749565,0,1100.0,-1,21.3849749565,0.0,1,0.0,3,1351072.4489066605,SAT,,21.416,
21,7,86,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,3,1441072.4489066605,TIMEOUT,,1882.384,
22,7,52,78.5804109573,0,1100.0,-1,78.5804109573,0.0,1,0.0,3,1441151.0293176179,SAT,,78.614,
23,7,77,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,3,1531151.0293176179,TIMEOUT,,1882.253,
24,2,72,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,4,1621151.0293176179,TIMEOUT,,1882.341,
25,8,77,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,4,1711151.0293176179,TIMEOUT,,1882.244,
26,8,28,881.868428946,0,1100.0,-1,881.868428946,0.0,1,0.0,4,1712032.897746564,SAT,,881.909,
27,8,92,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,4,1802032.897746564,TIMEOUT,,1882.172,
28,2,55,45.7685098648,0,1100.0,-1,45.7685098648,0.0,1,0.0,4,1802078.6662564287,SAT,,45.795,
29,9,86,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,4,1892078.6662564287,TIMEOUT,,1882.335,
30,9,55,24.9074170589,0,1100.0,-1,24.9074170589,0.0,1,0.0,4,1892103.5736734876,SAT,,24.948,
31,9,77,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,4,1982103.5736734876,TIMEOUT,,1882.233,
32,9,62,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,4,2072103.5736734876,TIMEOUT,,1881.971,
33,9,28,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,4,2162103.5736734876,TIMEOUT,,1881.856,
34,9,52,19.5109610558,0,1100.0,-1,19.5109610558,0.0,1,0.0,4,2162123.0846345434,SAT,,19.554,
35,9,92,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,4,2252123.0846345434,TIMEOUT,,1882.001,
36,2,11,11.634278059,0,1100.0,-1,11.634278059,0.0,1,0.0,5,2252134.7189126024,SAT,,11.664,
37,10,92,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,5,2342134.7189126024,TIMEOUT,,1882.268,
38,10,72,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,5,2432134.7189126024,TIMEOUT,,1882.458,
39,10,55,70.9467859268,0,60.50426283699572,-1,70.9467859268,0.0,1,0.0,5,2432205.665698529,SAT,,70.973,
40,2,80,1100.0,0,1100.0,-1,90000.0,0.0,0,0.0,5,2522205.665698529,TIMEOUT,,1882.082,
41,11,72,765.354765177,0,1100.0,-1,765.354765177,0.0,1,0.0,5,2522971.020463706,SAT,,765.429,
