Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1082,68.4800710678,0,2000.0,-1,68.4800710678,0.0,1,0.0,0,68.4800710678,SAT,,68.615,
2,1,294,4.19646000862,0,2000.0,-1,4.19646000862,0.0,1,0.0,1,72.67653107641999,SAT,,4.226,
3,2,294,42.7867190838,0,6.457998779016734,-1,42.7867190838,0.0,1,0.0,1,115.46325016021999,SAT,,42.806,
4,1,1053,31.3249330521,0,2000.0,-1,31.3249330521,0.0,1,0.0,1,146.78818321231998,SAT,,31.354,
5,3,294,3.65821194649,0,6.457998779016734,-1,3.65821194649,0.0,1,0.0,1,150.44639515881,SAT,,3.695,
6,3,1082,64.2661778927,0,131.45142801885606,-1,64.2661778927,0.0,1,0.0,1,214.71257305151,SAT,,64.32,
7,3,1053,36.7503709793,0,47.905396845537425,-1,36.7503709793,0.0,1,0.0,1,251.46294403080998,SAT,,36.836,
8,1,2791,208.693809032,0,2000.0,-1,208.693809032,0.0,1,0.0,2,460.15675306280997,SAT,,208.718,
9,4,1082,184.120270967,0,90.02669340779187,-1,184.120270967,0.0,1,0.0,2,644.27702402981,SAT,,184.153,
10,1,1995,1257.81239104,0,2000.0,-1,1257.81239104,0.0,1,0.0,2,1902.08941506981,SAT,,1257.911,
11,5,294,3.79294896126,0,6.457998779016734,-1,3.79294896126,0.0,1,0.0,2,1905.88236403107,SAT,,3.874,
12,5,1053,5.51969099045,0,313.5541292730451,-1,5.51969099045,0.0,1,0.0,2,1911.40205502152,SAT,,5.551,
13,5,2791,1828.575001,0,306.3785310726345,-1,1828.575001,0.0,1,0.0,2,3739.97705602152,SAT,,1828.616,
