Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,29,1000.0,0,1000.0,-1,90000.0,0.0,-1,1.0E9,0,90000.0,CRASHED,,14.138,
2,1,46,1000.0,0,1000.0,-1,90000.0,0.0,-1,1.0E9,1,180000.0,CRASHED,,4.255,
3,2,29,1000.0,0,1000.0,-1,90000.0,0.0,0,0.0,1,270000.0,TIMEOUT,,1881.64,
4,2,46,1000.0,0,1000.0,-1,90000.0,0.0,-1,1.0E9,1,360000.0,CRASHED,,4.627,
5,1,5,1000.0,0,1000.0,-1,90000.0,0.0,-1,1.0E9,1,450000.0,CRASHED,,6.722,
6,3,29,1000.0,0,1000.0,-1,90000.0,0.0,-1,1.0E9,1,540000.0,CRASHED,,102.317,
7,3,46,1000.0,0,1000.0,-1,90000.0,0.0,-1,1.0E9,1,630000.0,CRASHED,,4.353,
8,3,5,1000.0,0,1000.0,-1,90000.0,0.0,-1,1.0E9,1,720000.0,CRASHED,,7.018,
9,1,132,1000.0,0,1000.0,-1,90000.0,0.0,-1,1.0E9,2,810000.0,CRASHED,,4.45,
10,4,29,4.77209806442,0,1000.0,-1,4.77209806442,0.0,1,0.0,2,810004.7720980644,SAT,,4.809,
11,4,5,4.10991597176,0,1000.0,-1,4.10991597176,0.0,1,0.0,2,810008.8820140362,SAT,,4.154,
12,4,132,461.797339201,0,1000.0,-1,461.797339201,0.0,1,0.0,2,810470.6793532372,SAT,,461.832,
13,4,46,3.9854490757,0,1000.0,-1,3.9854490757,0.0,1,0.0,2,810474.6648023129,SAT,,4.042,
14,4,104,1000.0,0,1000.0,-1,90000.0,0.0,0,0.0,2,900474.6648023129,TIMEOUT,,1881.908,
15,5,46,1000.0,0,6.183684885847568,-1,90000.0,0.0,-1,1.0E9,2,990474.6648023129,CRASHED,,4.458,
16,4,156,1000.0,0,1000.0,-1,90000.0,0.0,0,0.0,3,1080474.6648023129,TIMEOUT,,1973.697,
17,6,156,1000.0,0,1000.0,-1,90000.0,0.0,0,0.0,3,1170474.6648023129,TIMEOUT,,1980.855,
18,6,5,4.76125192642,0,12.551819242882729,-1,4.76125192642,0.0,1,0.0,3,1170479.4260542393,SAT,,4.809,
19,6,29,5.3645260334,0,6.362190924930573,-1,5.3645260334,0.0,1,0.0,3,1170484.7905802727,SAT,,5.404,
20,4,26,4.47924995422,0,1000.0,-1,4.47924995422,0.0,1,0.0,3,1170489.269830227,SAT,,4.499,
21,7,132,1000.0,0,601.3391421068192,-1,90000.0,0.0,-1,1.0E9,3,1260489.269830227,CRASHED,,9.628,
22,4,83,1000.0,0,1000.0,-1,90000.0,0.0,0,0.0,4,1350489.269830227,TIMEOUT,,1882.328,
23,8,132,281.751070023,0,601.3391421068192,-1,281.751070023,0.0,1,0.0,4,1350771.02090025,SAT,,281.78,
24,8,29,5.71204209328,0,1000.0,-1,5.71204209328,0.0,1,0.0,4,1350776.7329423432,SAT,,5.758,
25,8,83,882.203780174,0,1000.0,-1,882.203780174,0.0,1,0.0,4,1351658.9367225172,SAT,,882.253,
26,8,5,4.40222406387,0,1000.0,-1,4.40222406387,0.0,1,0.0,4,1351663.3389465811,SAT,,4.45,
27,8,26,4.44374084473,0,1000.0,-1,4.44374084473,0.0,1,0.0,4,1351667.7826874258,SAT,,4.475,
28,8,46,4.328966856,0,1000.0,-1,4.328966856,0.0,1,0.0,4,1351672.1116542818,SAT,,4.373,
29,8,156,1000.0,0,1000.0,-1,90000.0,0.0,0,0.0,4,1441672.1116542818,TIMEOUT,,1974.704,
30,8,104,881.491481066,0,1000.0,-1,881.491481066,0.0,1,0.0,4,1442553.6031353478,SAT,,881.523,
31,8,31,4.4679980278,0,1000.0,-1,4.4679980278,0.0,1,0.0,4,1442558.0711333756,SAT,,4.519,
32,9,104,1000.0,0,1000.0,-1,90000.0,0.0,-1,1.0E9,4,1532558.0711333756,CRASHED,,10.427,
33,8,20,3.76125121117,0,1000.0,-1,3.76125121117,0.0,1,0.0,5,1532561.8323845868,SAT,,3.833,
34,10,29,5.16041493416,0,8.4282556440413,-1,5.16041493416,0.0,1,0.0,5,1532566.992799521,SAT,,5.207,
35,10,20,3.7679541111,0,1000.0,-1,3.7679541111,0.0,1,0.0,5,1532570.760753632,SAT,,3.798,
36,10,156,1000.0,0,1000.0,-1,90000.0,0.0,0,0.0,5,1622570.760753632,TIMEOUT,,1977.269,
37,10,132,540.962233067,0,1000.0,-1,540.962233067,0.0,1,0.0,5,1623111.722986699,SAT,,541.011,
38,10,83,882.312011957,0,823.1089585352421,-1,882.312011957,0.0,1,0.0,5,1623994.034998656,SAT,,882.344,
39,8,143,1000.0,0,1000.0,-1,90000.0,0.0,0,0.0,5,1713994.034998656,TIMEOUT,,1881.888,
40,11,83,1000.0,0,1000.0,-1,90000.0,0.0,0,0.0,5,1803994.034998656,TIMEOUT,,1883.009,
41,8,134,4.02664899826,0,1000.0,-1,4.02664899826,0.0,1,0.0,6,1803998.0616476543,SAT,,4.073,
42,12,156,1000.0,0,1000.0,-1,90000.0,0.0,0,0.0,6,1893998.0616476543,TIMEOUT,,1973.486,
43,12,132,578.762495995,0,1000.0,-1,578.762495995,0.0,1,0.0,6,1894576.8241436493,SAT,,578.805,
44,12,143,1000.0,0,1000.0,-1,90000.0,0.0,0,0.0,6,1984576.8241436493,TIMEOUT,,1881.75,
45,8,87,6.28443193436,0,1000.0,-1,6.28443193436,0.0,1,0.0,6,1984583.1085755837,SAT,,6.314,
46,13,87,1000.0,0,9.172362543988228,-1,92.36089999999999,0.0,-1,1.0E9,6,1984675.4694755836,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,97.222,
47,8,57,3.74322104454,0,1000.0,-1,3.74322104454,0.0,1,0.0,7,1984679.2126966282,SAT,,3.772,
48,14,83,882.227138042,0,1000.0,-1,882.227138042,0.0,1,0.0,7,1985561.4398346702,SAT,,882.276,
