Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,250,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,0,90000.0,TIMEOUT,,1884.801,
2,1,116,2000.0,0,2000.0,-1,90000.0,0.0,-1,1.0E9,1,180000.0,CRASHED,,7.531,
3,2,116,57.6740632057,0,2000.0,-1,57.6740632057,0.0,1,0.0,1,180057.6740632057,SAT,,57.708,
4,2,250,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,1,270057.6740632057,TIMEOUT,,1882.355,
5,2,216,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,1,360057.6740632057,TIMEOUT,,1881.928,
6,3,216,2000.0,0,2000.0,-1,90000.0,0.0,-1,1.0E9,1,450057.6740632057,CRASHED,,5.783,
7,3,116,2000.0,0,2000.0,-1,90000.0,0.0,-1,1.0E9,1,540057.6740632057,CRASHED,,6.437,
8,3,250,2000.0,0,75.98148331825733,-1,760.35245,0.0,-1,1.0E9,1,540818.0265132057,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,800.371,
9,2,5,48.6123569012,0,2000.0,-1,48.6123569012,0.0,1,0.0,2,540866.6388701069,SAT,,48.643,
10,4,216,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,2,630866.6388701069,TIMEOUT,,1881.738,
11,4,250,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,2,720866.6388701069,TIMEOUT,,1882.855,
12,4,5,39.0717389584,0,64.20126397942305,-1,39.0717389584,0.0,1,0.0,2,720905.7106090653,SAT,,39.119,
13,4,116,50.6168558598,0,88.3855863366008,-1,50.6168558598,0.0,1,0.0,2,720956.327464925,SAT,,50.658,
14,4,14,45.8744029999,0,2000.0,-1,45.8744029999,0.0,1,0.0,2,721002.2018679249,SAT,,45.927,
15,5,5,2000.0,0,51.79586064850092,-1,518.4739,0.0,-1,1.0E9,2,721520.6757679249,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,545.762,
16,4,182,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,3,811520.6757679249,TIMEOUT,,1883.671,
17,6,216,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,3,901520.6757679249,TIMEOUT,,1882.242,
18,6,116,48.9499270916,0,2000.0,-1,48.9499270916,0.0,1,0.0,3,901569.6256950165,SAT,,48.992,
19,6,182,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,3,991569.6256950165,TIMEOUT,,1883.922,
20,6,14,100.732489109,0,2000.0,-1,100.732489109,0.0,1,0.0,3,991670.3581841255,SAT,,100.761,
21,6,5,82.7583379745,0,2000.0,-1,82.7583379745,0.0,1,0.0,3,991753.1165221,SAT,,82.798,
22,6,250,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,3,1081753.1165221,TIMEOUT,,1882.747,
23,4,100,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,3,1171753.1165221,TIMEOUT,,1882.285,
24,7,216,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,3,1261753.1165221,TIMEOUT,,1899.018,
25,7,116,62.5855839252,0,117.60037372668387,-1,62.5855839252,0.0,1,0.0,3,1261815.7021060253,SAT,,62.673,
26,7,5,51.5716700554,0,36.23911467229128,-1,51.5716700554,0.0,1,0.0,3,1261867.2737760807,SAT,,51.6,
27,4,184,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,4,1351867.2737760807,TIMEOUT,,1883.39,
28,8,100,823.125806093,0,2000.0,-1,823.125806093,0.0,1,0.0,4,1352690.3995821737,SAT,,823.177,
29,8,5,62.7389988899,0,2000.0,-1,62.7389988899,0.0,1,0.0,4,1352753.1385810636,SAT,,62.785,
30,8,14,84.755437851,0,2000.0,-1,84.755437851,0.0,1,0.0,4,1352837.8940189146,SAT,,84.802,
31,8,216,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,4,1442837.8940189146,TIMEOUT,,1882.127,
32,8,250,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,4,1532837.8940189146,TIMEOUT,,1883.081,
33,8,184,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,4,1622837.8940189146,TIMEOUT,,1883.964,
34,8,182,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,4,1712837.8940189146,TIMEOUT,,1883.577,
35,8,116,87.4085571766,0,2000.0,-1,87.4085571766,0.0,1,0.0,4,1712925.3025760911,SAT,,87.428,
36,8,141,9.74160718918,0,2000.0,-1,9.74160718918,0.0,1,0.0,4,1712935.0441832803,SAT,,9.786,
37,9,184,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,4,1802935.0441832803,TIMEOUT,,1885.011,
38,9,14,2000.0,0,2000.0,-1,90000.0,0.0,-1,1.0E9,4,1892935.0441832803,CRASHED,,12.262,
39,9,182,2000.0,0,111.18726962094308,-1,1112.54215,0.0,-1,1.0E9,4,1894047.5863332804,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,1171.097,
40,8,8,10.1279418468,0,2000.0,-1,10.1279418468,0.0,1,0.0,5,1894057.7142751273,SAT,,10.178,
41,10,5,47.6527471542,0,82.56329874356389,-1,47.6527471542,0.0,1,0.0,5,1894105.3670222815,SAT,,47.695,
42,10,184,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,5,1984105.3670222815,TIMEOUT,,1883.555,
43,10,8,13.2692201138,0,33.78365234320164,-1,13.2692201138,0.0,1,0.0,5,1984118.6362423953,SAT,,13.296,
44,10,100,570.735977888,0,2000.0,-1,570.735977888,0.0,1,0.0,5,1984689.3722202834,SAT,,570.77,
45,10,141,9.9077398777,0,2000.0,-1,9.9077398777,0.0,1,0.0,5,1984699.279960161,SAT,,9.948,
46,10,182,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,5,2074699.279960161,TIMEOUT,,1883.885,
47,10,116,51.132019043,0,458.0607948716461,-1,51.132019043,0.0,1,0.0,5,2074750.411979204,SAT,,51.166,
48,10,216,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,5,2164750.411979204,TIMEOUT,,1881.932,
49,10,250,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,5,2254750.411979204,TIMEOUT,,1882.77,
50,10,14,50.1540379524,0,501.7751390006125,-1,50.1540379524,0.0,1,0.0,5,2254800.5660171565,SAT,,50.183,
51,10,167,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,5,2344800.5660171565,TIMEOUT,,1882.887,
52,11,100,2000.0,0,742.9593716639757,-1,90000.0,0.0,-1,1.0E9,5,2434800.5660171565,CRASHED,,9.582,
53,10,208,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,6,2524800.5660171565,TIMEOUT,,1881.934,
54,12,250,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,6,2614800.5660171565,TIMEOUT,,1882.841,
55,12,208,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,6,2704800.5660171565,TIMEOUT,,1881.863,
56,12,167,2000.0,0,2000.0,-1,90000.0,0.0,0,0.0,6,2794800.5660171565,TIMEOUT,,1883.176,
57,12,8,18.0058810711,0,2000.0,-1,18.0058810711,0.0,1,0.0,6,2794818.5718982276,SAT,,18.046,
