Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1108,5.09960103035,0,2000.0,-1,5.09960103035,0.0,1,0.0,0,5.09960103035,SAT,,5.28,
2,1,501,189.342441082,0,2000.0,-1,189.342441082,0.0,1,0.0,1,194.44204211234998,SAT,,189.437,
3,2,1108,3.85704708099,0,7.632081758576632,-1,3.85704708099,0.0,1,0.0,1,198.29908919333997,SAT,,3.882,
4,2,501,1802.90326405,0,248.7643939334631,-1,1802.90326405,0.0,1,0.0,1,2001.20235324334,SAT,,1802.952,
5,1,1390,870.870699883,0,2000.0,-1,870.870699883,0.0,1,0.0,1,2872.07305312634,SAT,,870.924,
6,3,501,1802.73818707,0,247.14777366106512,-1,1802.73818707,0.0,1,0.0,1,4674.81124019634,SAT,,1802.869,
7,1,395,11.7217109203,0,2000.0,-1,11.7217109203,0.0,1,0.0,2,4686.53295111664,SAT,,11.759,
8,4,395,10.8957281113,0,16.24082540010214,-1,10.8957281113,0.0,1,0.0,2,4697.42867922794,SAT,,10.962,
9,4,501,139.387071848,0,254.85363303532006,-1,139.387071848,0.0,1,0.0,2,4836.81575107594,SAT,,139.429,
10,4,1108,4.63825893402,0,73.65043935214281,-1,4.63825893402,0.0,1,0.0,2,4841.45401000996,SAT,,4.686,
11,4,1390,849.210935831,0,1199.7539127137243,-1,849.210935831,0.0,1,0.0,2,5690.66494584096,SAT,,849.256,
12,4,604,407.361756086,0,2000.0,-1,407.361756086,0.0,1,0.0,2,6098.02670192696,SAT,,407.505,
13,5,604,5.52664899826,0,530.5728832151473,-1,5.52664899826,0.0,1,0.0,2,6103.55335092522,SAT,,5.611,
14,5,395,4.64214706421,0,543.585022807467,-1,4.64214706421,0.0,1,0.0,2,6108.19549798943,SAT,,4.681,
15,5,1108,3.3652369976,0,537.5502321760833,-1,3.3652369976,0.0,1,0.0,2,6111.56073498703,SAT,,3.399,
16,5,501,6.06225609779,0,1818.355433166373,-1,6.06225609779,0.0,1,0.0,2,6117.62299108482,SAT,,6.089,
17,5,1390,1280.44577885,0,1810.474501353103,-1,1280.44577885,0.0,1,0.0,2,7398.06876993482,SAT,,1280.472,
18,5,1977,100.826854944,0,2000.0,-1,100.826854944,0.0,1,0.0,3,7498.89562487882,SAT,,100.852,
19,6,1108,3.64547109604,0,5.377408758151531,-1,3.64547109604,0.0,1,0.0,3,7502.54109597486,SAT,,3.673,
20,5,218,4.15291404724,0,2000.0,-1,4.15291404724,0.0,1,0.0,3,7506.6940100221,SAT,,4.182,
21,7,501,2000.0,0,8.88353333656788,-1,89.5033,0.0,-1,1.0E9,3,7596.1973100221,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,94.214,
22,5,2452,2121.45794106,0,2000.0,-1,2121.45794106,0.0,1,0.0,4,9717.6552510821,SAT,,2121.502,
23,6,604,6.10959100723,0,7.824239869016409,-1,6.10959100723,0.0,1,0.0,4,9723.764842089331,SAT,,6.147,
24,5,1149,46.2669460773,0,2000.0,-1,46.2669460773,0.0,1,0.0,4,9770.03178816663,SAT,,46.299,
25,8,218,2000.0,0,6.401389174509049,-1,64.67504999999998,0.0,-1,1.0E9,4,9834.70683816663,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,68.079,
