1: /bopt:boolControlVC='False', /di='True', /staticInlining='True', /trackAllVars='True', /useArrayTheoryCheck='1', bit-precise='False', unroll='16'
2: /bopt:boolControlVC='False', /di='True', /staticInlining='True', /trackAllVars='False', /useArrayTheoryCheck='0', bit-precise='True', unroll='16'
3: /bopt:boolControlVC='False', /di='False', /staticInlining='True', /trackAllVars='True', /useArrayTheoryCheck='2', bit-precise='False', unroll='16'
4: /bopt:boolControlVC='False', /di='False', /staticInlining='False', /trackAllVars='True', /useArrayTheoryCheck='0', bit-precise='True', unroll='16'
5: /bopt:boolControlVC='True', /di='True', /staticInlining='False', /trackAllVars='True', /useArrayTheoryCheck='0', bit-precise='True', unroll='16'
6: /bopt:boolControlVC='False', /di='False', /staticInlining='False', /trackAllVars='False', /useArrayTheoryCheck='1', bit-precise='False', unroll='16'
7: /bopt:boolControlVC='False', /di='True', /staticInlining='False', /trackAllVars='False', /useArrayTheoryCheck='2', bit-precise='False', unroll='16'
8: /bopt:boolControlVC='False', /di='True', /staticInlining='False', /trackAllVars='False', /useArrayTheoryCheck='2', bit-precise='True', unroll='16'
9: /bopt:boolControlVC='True', /di='False', /staticInlining='False', /trackAllVars='True', /useArrayTheoryCheck='0', bit-precise='True', unroll='16'
10: /bopt:boolControlVC='True', /di='True', /staticInlining='False', /trackAllVars='False', /useArrayTheoryCheck='2', bit-precise='False', unroll='16'
11: /bopt:boolControlVC='False', /di='False', /staticInlining='False', /trackAllVars='False', /useArrayTheoryCheck='0', bit-precise='True', unroll='16'
12: /bopt:boolControlVC='False', /di='False', /staticInlining='False', /trackAllVars='False', /useArrayTheoryCheck='0', bit-precise='False', unroll='16'
13: /bopt:boolControlVC='False', /di='True', /staticInlining='True', /trackAllVars='True', /useArrayTheoryCheck='0', bit-precise='False', unroll='16'
14: /bopt:boolControlVC='False', /di='True', /staticInlining='False', /trackAllVars='True', /useArrayTheoryCheck='2', bit-precise='True', unroll='16'
15: /bopt:boolControlVC='True', /di='False', /staticInlining='False', /trackAllVars='False', /useArrayTheoryCheck='2', bit-precise='False', unroll='16'
16: /bopt:boolControlVC='True', /di='True', /staticInlining='True', /trackAllVars='False', /useArrayTheoryCheck='1', bit-precise='False', unroll='16'
17: /bopt:boolControlVC='False', /di='True', /staticInlining='True', /trackAllVars='False', /useArrayTheoryCheck='2', bit-precise='True', unroll='16'
18: /bopt:boolControlVC='True', /di='False', /staticInlining='True', /trackAllVars='False', /useArrayTheoryCheck='1', bit-precise='False', unroll='16'
19: /bopt:boolControlVC='True', /di='True', /staticInlining='True', /trackAllVars='True', /useArrayTheoryCheck='2', bit-precise='True', unroll='16'
20: /bopt:boolControlVC='True', /di='True', /staticInlining='False', /trackAllVars='False', /useArrayTheoryCheck='0', bit-precise='True', unroll='16'
21: /bopt:boolControlVC='False', /di='False', /staticInlining='False', /trackAllVars='True', /useArrayTheoryCheck='0', bit-precise='False', unroll='16'
