Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,177,17.6343569756,0,2000.0,-1,17.6343569756,0.0,1,0.0,0,17.6343569756,SAT,,17.772,
2,1,1876,965.841650009,0,2000.0,-1,965.841650009,0.0,1,0.0,1,983.4760069846,SAT,,965.9,
3,2,1876,531.715874195,0,1256.5967453535377,-1,531.715874195,0.0,1,0.0,1,1515.1918811796,SAT,,531.806,
4,2,177,10.0521988869,0,588.2920732613385,-1,10.0521988869,0.0,1,0.0,1,1525.2440800665,SAT,,10.117,
5,2,220,11.6028020382,0,2000.0,-1,11.6028020382,0.0,1,0.0,1,1536.8468821047,SAT,,11.656,
6,3,177,6.54763293266,0,14.070459630686045,-1,6.54763293266,0.0,1,0.0,1,1543.39451503736,SAT,,6.591,
7,3,220,1801.9801631,0,711.8754152100265,-1,1801.9801631,0.0,1,0.0,1,3345.37467813736,SAT,,1802.012,
8,2,636,11.2884190083,0,2000.0,-1,11.2884190083,0.0,1,0.0,2,3356.6630971456602,SAT,,11.397,
9,4,220,14.6368029118,0,16.086243175315857,-1,14.6368029118,0.0,1,0.0,2,3371.29990005746,SAT,,14.713,
10,2,1919,1827.4481411,0,2000.0,-1,1827.4481411,0.0,1,0.0,2,5198.74804115746,SAT,,1827.525,
11,5,636,30.2498660088,0,15.677545488226414,-1,30.2498660088,0.0,1,0.0,2,5228.99790716626,SAT,,30.329,
