Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1646,479.940605164,0,2000.0,-1,479.940605164,0.0,2,0.0,0,479.940605164,UNSAT,,480.19,
2,1,124,21.918571949,0,2000.0,-1,21.918571949,0.0,1,0.0,1,501.859177113,SAT,,22.129,
3,2,124,6.03425884247,0,29.49674454365969,-1,6.03425884247,0.0,1,0.0,1,507.89343595547,SAT,,6.064,
4,2,1646,466.355071068,0,645.5762942213297,-1,466.355071068,0.0,2,0.0,1,974.24850702347,UNSAT,,466.408,
5,2,1169,5.15810513496,0,2000.0,-1,5.15810513496,0.0,1,0.0,1,979.40661215843,SAT,,5.216,
6,3,1169,5.25147199631,0,7.708136726516486,-1,5.25147199631,0.0,1,0.0,1,984.65808415474,SAT,,5.286,
7,2,1188,4.74190402031,0,2000.0,-1,4.74190402031,0.0,1,0.0,2,989.39998817505,SAT,,4.781,
8,4,1169,5.27717208862,0,7.708136726516486,-1,5.27717208862,0.0,1,0.0,2,994.67716026367,SAT,,5.315,
9,2,1912,1849.08009791,0,2000.0,-1,1849.08009791,0.0,1,0.0,2,2843.75725817367,SAT,,1849.156,
10,5,1912,1824.67139077,0,2000.0,-1,1824.67139077,0.0,1,0.0,2,4668.42864894367,SAT,,1824.811,
11,5,1169,9.10728311539,0,45.60653137822747,-1,9.10728311539,0.0,1,0.0,2,4677.53593205906,SAT,,9.174,
12,5,1188,40.2220058441,0,33.76706427742839,-1,40.2220058441,0.0,1,0.0,2,4717.7579379031595,SAT,,40.246,
13,2,555,7.26087188721,0,2000.0,-1,7.26087188721,0.0,1,0.0,3,4725.018809790369,SAT,,7.289,
14,6,1912,1864.79895711,0,2000.0,-1,1864.79895711,0.0,1,0.0,3,6589.817766900369,SAT,,1864.89,
15,2,142,7.30088281631,0,2000.0,-1,7.30088281631,0.0,1,0.0,3,6597.118649716679,SAT,,7.356,
16,7,124,30.880614996,0,8.847136691558362,-1,30.880614996,0.0,1,0.0,3,6627.999264712679,SAT,,30.931,
17,2,223,6.25916600227,0,2000.0,-1,6.25916600227,0.0,1,0.0,4,6634.258430714949,SAT,,6.285,
18,8,1646,880.111701012,0,607.2641931365907,-1,880.111701012,0.0,2,0.0,4,7514.370131726949,UNSAT,,880.135,
19,2,182,6.23474884033,0,2000.0,-1,6.23474884033,0.0,1,0.0,4,7520.604880567279,SAT,,6.309,
20,9,223,5.30322003365,0,9.139516938823462,-1,5.30322003365,0.0,1,0.0,4,7525.908100600929,SAT,,5.328,
21,9,1169,4.94431614876,0,17.058640893894434,-1,4.94431614876,0.0,1,0.0,4,7530.852416749689,SAT,,4.972,
22,9,182,5.52147388458,0,10.631029948937893,-1,5.52147388458,0.0,1,0.0,4,7536.373890634269,SAT,,5.551,
23,9,1188,5.06797814369,0,2000.0,-1,5.06797814369,0.0,1,0.0,4,7541.441868777959,SAT,,5.099,
24,9,142,6.03956198692,0,2000.0,-1,6.03956198692,0.0,1,0.0,4,7547.4814307648785,SAT,,6.078,
25,9,555,8.13317084312,0,2000.0,-1,8.13317084312,0.0,1,0.0,4,7555.614601607998,SAT,,8.164,
26,9,1912,1847.88196993,0,2000.0,-1,1847.88196993,0.0,1,0.0,4,9403.496571537999,SAT,,1847.908,
27,9,124,4.82750201225,0,619.2064406241954,-1,4.82750201225,0.0,1,0.0,4,9408.324073550248,SAT,,4.916,
28,9,1646,823.98955822,0,612.9306877854943,-1,823.98955822,0.0,2,0.0,4,10232.313631770248,UNSAT,,824.031,
29,2,861,3.88904309273,0,2000.0,-1,3.88904309273,0.0,1,0.0,5,10236.202674862978,SAT,,3.946,
30,10,1188,5.06943678856,0,7.167075936096907,-1,5.06943678856,0.0,1,0.0,5,10241.272111651539,SAT,,5.154,
31,2,2416,1871.67992616,0,2000.0,-1,1871.67992616,0.0,1,0.0,5,12112.952037811538,SAT,,1871.702,
32,11,182,2000.0,0,9.107774298983813,-1,156.01944999999998,0.0,-1,1.0E9,5,12268.971487811537,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,164.231,
33,2,958,95.8038699627,0,2000.0,-1,95.8038699627,0.0,1,0.0,6,12364.775357774237,SAT,,95.89,
34,12,1912,1890.73605704,0,2000.0,-1,1890.73605704,0.0,1,0.0,6,14255.511414814237,SAT,,1890.807,
35,2,231,73.1425549984,0,2000.0,-1,73.1425549984,0.0,1,0.0,6,14328.653969812636,SAT,,73.2,
36,13,142,2000.0,0,10.493747692900897,-1,114.79419999999999,0.0,-1,1.0E9,6,14443.448169812636,CRASHED,Run Exceeded Captime -- Treating as CRASHED;Killed Manually,120.836,
37,2,1235,1802.40211701,0,2000.0,-1,1802.40211701,0.0,1,0.0,7,16245.850286822637,SAT,,1802.528,
38,14,958,3.74096298218,0,125.54763116722108,-1,3.74096298218,0.0,1,0.0,7,16249.591249804816,SAT,,3.924,
39,14,555,3.54010295868,0,225.2114350799203,-1,3.54010295868,0.0,1,0.0,7,16253.131352763496,SAT,,3.568,
40,14,231,9.86436319351,0,220.60930075903536,-1,9.86436319351,0.0,1,0.0,7,16262.995715957006,SAT,,9.892,
41,14,182,3.97244405746,0,2000.0,-1,3.97244405746,0.0,1,0.0,7,16266.968160014465,SAT,,3.997,
42,14,1912,1948.18243408,0,2000.0,-1,1948.18243408,0.0,1,0.0,7,18215.150594094466,SAT,,1948.225,
43,14,1188,4.7109131813,0,2000.0,-1,4.7109131813,0.0,1,0.0,7,18219.861507275768,SAT,,4.745,
44,14,1235,1802.04610991,0,2000.0,-1,1802.04610991,0.0,1,0.0,7,20021.907617185767,SAT,,1802.083,
45,14,1646,1315.96814013,0,2000.0,-1,1315.96814013,0.0,2,0.0,7,21337.875757315767,UNSAT,,1315.992,
46,14,1169,5.24797606468,0,1448.3317917104544,-1,5.24797606468,0.0,1,0.0,7,21343.123733380446,SAT,,5.307,
47,14,124,3.91317415237,0,1441.5094233009697,-1,3.91317415237,0.0,1,0.0,7,21347.036907532816,SAT,,3.942,
48,14,2416,1899.67877197,0,1436.4222966026248,-1,1899.67877197,0.0,1,0.0,7,23246.715679502817,SAT,,1899.721,
49,2,1806,1358.64657307,0,2000.0,-1,1358.64657307,0.0,1,0.0,7,24605.362252572817,SAT,,1358.673,
50,15,861,3.75909495354,0,6.0583560619235035,-1,3.75909495354,0.0,1,0.0,7,24609.121347526358,SAT,,3.839,
51,15,223,6.57903218269,0,133.85608008911015,-1,6.57903218269,0.0,1,0.0,7,24615.700379709047,SAT,,6.604,
52,15,958,4.80532097816,0,125.30333827098013,-1,4.80532097816,0.0,1,0.0,7,24620.50570068721,SAT,,4.824,
53,15,182,7.75344800949,0,2000.0,-1,7.75344800949,0.0,1,0.0,7,24628.2591486967,SAT,,7.784,
54,15,1235,231.222391844,0,2000.0,-1,231.222391844,0.0,1,0.0,7,24859.4815405407,SAT,,231.247,
55,15,555,4.60559916496,0,2000.0,-1,4.60559916496,0.0,1,0.0,7,24864.087139705658,SAT,,4.681,
