1: sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='100', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.5', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0', sp-var-dec-heur='0', sp-variable-decay='1.4'
2: sp-clause-activity-inc='0.633676611109656', sp-clause-decay='1.3925210287614738', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='93', sp-learned-clause-sort-heur='13', sp-learned-clauses-inc='1.4401972047719231', sp-learned-size-factor='0.20379920689277783', sp-max-res-lit-inc='0.25446135603228015', sp-max-res-runs='7', sp-orig-clause-sort-heur='15', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='1.0547757174152914', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.6119151509799026', sp-res-cutoff-cls='4', sp-res-cutoff-lits='437', sp-res-order-heur='13', sp-resolution='0', sp-restart-inc='1.165689404205486', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0746750900494157', sp-var-dec-heur='10', sp-variable-decay='1.2462200457660164'
3: sp-clause-activity-inc='1.1495262918274487', sp-clause-decay='1.0434288419039097', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='278', sp-learned-clause-sort-heur='1', sp-learned-clauses-inc='1.4846728235504791', sp-learned-size-factor='0.2301043395226626', sp-max-res-lit-inc='0.4055003147408632', sp-max-res-runs='3', sp-orig-clause-sort-heur='17', sp-phase-dec-heur='3', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.8747884773407195', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.8253444977604776', sp-res-cutoff-cls='3', sp-res-cutoff-lits='836', sp-res-order-heur='19', sp-resolution='0', sp-restart-inc='1.1085707696238385', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.0016490401982328', sp-var-dec-heur='18', sp-variable-decay='1.1525984612613533'
4: sp-clause-activity-inc='0.7071754325391962', sp-clause-decay='1.6675405455064498', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='182', sp-learned-clause-sort-heur='4', sp-learned-clauses-inc='1.167827171320036', sp-learned-size-factor='0.2699402284780379', sp-max-res-lit-inc='2.9589402893198087', sp-max-res-runs='8', sp-orig-clause-sort-heur='1', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.6115220684759934', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.9697951515869352', sp-res-cutoff-cls='10', sp-res-cutoff-lits='235', sp-res-order-heur='17', sp-resolution='0', sp-restart-inc='1.297818984138794', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0091925617430042', sp-var-dec-heur='2', sp-variable-decay='1.0947851513143576'
5: sp-clause-activity-inc='1.2725746299506802', sp-clause-decay='1.2162264828464544', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='77', sp-learned-clause-sort-heur='1', sp-learned-clauses-inc='1.1616484691161957', sp-learned-size-factor='0.2553543782403734', sp-max-res-lit-inc='3.559810713414242', sp-max-res-runs='6', sp-orig-clause-sort-heur='13', sp-phase-dec-heur='2', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='1.058915197277191', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.320983011125987', sp-res-cutoff-cls='7', sp-res-cutoff-lits='561', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.518978671388191', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.090918121930076', sp-var-dec-heur='0', sp-variable-decay='1.9468020757447242'
6: sp-clause-activity-inc='1.344264380908606', sp-clause-decay='1.7806858000930044', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='599', sp-learned-clause-sort-heur='16', sp-learned-clauses-inc='1.2744626104166654', sp-learned-size-factor='0.21067295890164975', sp-max-res-lit-inc='1.1135862380947577', sp-max-res-runs='1', sp-orig-clause-sort-heur='14', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.8856815535868197', sp-rand-var-dec-freq='0.05', sp-rand-var-dec-scaling='0.4709172334808788', sp-res-cutoff-cls='3', sp-res-cutoff-lits='223', sp-res-order-heur='2', sp-resolution='2', sp-restart-inc='1.5363357358631808', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.8991259169008607', sp-var-dec-heur='7', sp-variable-decay='1.3522461099874754'
7: sp-clause-activity-inc='1.1225910639288694', sp-clause-decay='1.5179252935732985', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='1682', sp-learned-clause-sort-heur='2', sp-learned-clauses-inc='1.492635771258005', sp-learned-size-factor='0.20756873064233275', sp-max-res-lit-inc='0.294366960721447', sp-max-res-runs='23', sp-orig-clause-sort-heur='17', sp-phase-dec-heur='3', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.4291559400937458', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.3579430245998914', sp-res-cutoff-cls='5', sp-res-cutoff-lits='1269', sp-res-order-heur='10', sp-resolution='1', sp-restart-inc='1.8509506520622219', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.2143739318532636', sp-var-dec-heur='5', sp-variable-decay='1.2635123840499858'
8: sp-clause-activity-inc='1.037289214557228', sp-clause-decay='1.468215099185223', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='76', sp-learned-clause-sort-heur='7', sp-learned-clauses-inc='1.3693196388794662', sp-learned-size-factor='0.9180445299947119', sp-max-res-lit-inc='2.41936841776664', sp-max-res-runs='5', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='0.7152876487912285', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='0.5608725537944699', sp-res-cutoff-cls='10', sp-res-cutoff-lits='1274', sp-res-order-heur='4', sp-resolution='1', sp-restart-inc='1.4156621778864846', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.1121619453925295', sp-var-dec-heur='7', sp-variable-decay='1.6516902300687302'
9: sp-clause-activity-inc='1.4435020176916837', sp-clause-decay='1.425476283746603', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='156', sp-learned-clause-sort-heur='7', sp-learned-clauses-inc='1.2810936549520655', sp-learned-size-factor='0.1383339177551597', sp-max-res-lit-inc='1.6269582021615603', sp-max-res-runs='5', sp-orig-clause-sort-heur='14', sp-phase-dec-heur='4', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='1.065328809438348', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='1.0861341383685583', sp-res-cutoff-cls='3', sp-res-cutoff-lits='236', sp-res-order-heur='7', sp-resolution='0', sp-restart-inc='1.7051521750321201', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.945367864688622', sp-var-dec-heur='17', sp-variable-decay='1.824114864675433'
10: sp-clause-activity-inc='0.8269263841821487', sp-clause-decay='1.17895646531319', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='625', sp-learned-clause-sort-heur='6', sp-learned-clauses-inc='1.289561904437086', sp-learned-size-factor='0.4676761990038562', sp-max-res-lit-inc='0.30302074055577577', sp-max-res-runs='14', sp-orig-clause-sort-heur='9', sp-phase-dec-heur='2', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='1.0789485970099773', sp-rand-var-dec-freq='0.05', sp-rand-var-dec-scaling='0.7386947143087199', sp-res-cutoff-cls='17', sp-res-cutoff-lits='764', sp-res-order-heur='19', sp-resolution='2', sp-restart-inc='1.7537563790289288', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.707846839442992', sp-var-dec-heur='7', sp-variable-decay='1.2906758593137722'
11: sp-clause-activity-inc='0.8506843097432432', sp-clause-decay='1.7791817595328219', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='45', sp-learned-clause-sort-heur='9', sp-learned-clauses-inc='1.4410374848789012', sp-learned-size-factor='0.11422086197272029', sp-max-res-lit-inc='1.420953330072887', sp-max-res-runs='11', sp-orig-clause-sort-heur='8', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='0.8850653432603195', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.9647427394647792', sp-res-cutoff-cls='20', sp-res-cutoff-lits='161', sp-res-order-heur='3', sp-resolution='1', sp-restart-inc='1.8822100369577563', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.3915024625915378', sp-var-dec-heur='6', sp-variable-decay='1.9707826026368354'
